URL,Unique Visitors,Section,Product
/frm/resources/how-to-become-a-certified-frm/,55,Resources,FRM
/cpa/resources/cpa-exam-faqs/,54,Resources,CPA
/cpa/resources/cpa-exam-updates-reg/,54,Resources,CPA
/cmt/resources/program-overview/,54,Resources,CMT
/blog/cpa/free-cpa-lesson-transaction-cycles/,53,Blog,CPA
/caia/resources/caia-exam-dates-and-schedule/,52,Resources,CAIA
/blog/cma/,51,Blog,CMA
/cfa/resources/#group-3,51,Resources,CFA
/blog/cfa/top-10-tips-to-pass-the-level-ii-cfa-exam-in-2017/,50,Blog,CFA
/frm/resources/maths-for-frm-exam/,49,Resources,FRM
/blog/cia/failed-the-cia-exam-now-what/,49,Blog,CIA
/blog/cpa/save-big-on-aicpa-membership/,48,Blog,CPA
/cma/resources/exam-dates-registration/,47,Resources,CMA
/blog/cma/nicolas-lehmann-highest-score-cma-exam/,47,Blog,CMA
/blog/cma/new-2017-ima-learning-system-textbooks-are-here/,46,Blog,CMA
/cfa/resources/pop-quiz/level-1-answers/,46,Resources,CFA
/cpa/resources/webinar-far-need-to-know/,44,Resources,CPA
/cfa/resources/level-3-exam-tips/,44,Resources,CFA
/blog/cpa/sneak-peek-of-2018-cpa-exam-in-october/,43,Blog,CPA
/cfa/resources/how-to-pass-level-2-cfa-exam/,43,Resources,CFA
/blog/cfa/free-video-lectures-for-cfa-level-1/,42,Blog,CFA
/cia/resources/faqs/,41,Resources,CIA
/blog/cpa/cpa-exam-sections-explained/,40,Blog,CPA
/cpa/resources/drs/,40,Resources,CPA
/cfa/resources/#group-1,40,Resources,CFA
/cma/resources/#group-3,39,Resources,CMA
/cia/resources/how-the-cia-exam-is-scored/,39,Resources,CIA
/cia/resources/internal-auditor-jobs-and-salary/,38,Resources,CIA
/blog/cma/cma-career-paths/,37,Blog,CMA
/blog/cfa/financial-reporting-analysis-cfa-online-class/,36,Blog,CFA
/cma/resources/career-in-management-accounting/,36,Resources,CMA
/cma/resources/cma-exam-basics/,36,Resources,CMA
/blog/cpa/2017-cpa-exam-format-changes/,36,Blog,CPA
/pmp/resources/free-guide/,35,Resources,PMP
/blog/cma/he-completed-the-cma-in-just-3-months/,34,Blog,CMA
/cfa/resources/tough-cfa-exam-questions/,33,Resources,CFA
/blog/cpa/cpa_exam_focus_tip/,33,Blog,CPA
/blog/cpa/celebrity-cpas/,32,Blog,CPA
/blog/cpa/far-cpa-exam-lecture-bank-reconciliations/,32,Blog,CPA
/blog/frm/,32,Blog,FRM
/blog/cpa/linkedin-for-cpas/,32,Blog,CPA
/cpa/resources/day-in-the-life-of-cpa/,30,Resources,CPA
/cfa/resources/#group-2,29,Resources,CFA
/cfa/resources/webinar/,29,Resources,CFA
/cia/resources/internal-auditing-career-overview/,28,Resources,CIA
/cpa/resources/salary-infographic/,28,Resources,CPA
/cpa/resources/webinar-mastering-written-communications-on-the-cpa-,27,Resources,CPA
/frm/resources/product-samples/,27,Resources,FRM
/blog/cpa/master-cpa-simulations-1/,26,Blog,CPA
/blog/cpa/this-stay-at-home-mom-is-relaunching-her-career-by-passin,25,Blog,CPA
/cfa/resources/exam-score-release/,25,Resources,CFA
/cpa/resources/webinar-aud-need-to-know/,25,Resources,CPA
/cpa/resources/video-task-based-simulations-overview/,24,Resources,CPA
/blog/cma/what-to-expect-on-exam-day/,23,Blog,CMA
/cfa/resources/online-class-financial-statement-analysis/,23,Resources,CFA
/blog/cpa/stressed-about-the-cpa-exam-how-to-transform-your-stress-,22,Blog,CPA
/cpa/resources/free-webinar-what-you-need-to-know-for-bec/,22,Resources,CPA
/blog/cpa/elijah-watt-sells-award-winner/,22,Blog,CPA
/blog/cia/,22,Blog,CIA
/cpa/resources/rebecca-wuorio/,22,Resources,CPA
/frm/resources/retake-policy/,21,Resources,FRM
/cpa/resources/webinar-mastering-drs-on-the-cpa-exam/,21,Resources,CPA
/investment-banking/resources/job-interview-process/,21,Resources,BANKING
/blog/cma/free-cma-exam-video-lecture-part-1-depreciation-and-liabi,21,Blog,CMA
/cpa/resources/#group-5,21,Resources,CPA
/investment-banking/resources/wall-street-starter-reading-list/,21,Resources,BANKING
/cpa/resources/what-is-the-cpa-exam/,21,Resources,CPA
/cpa/resources/webinar-mastering-tbs-all-types-on-the-cpa-exam/,20,Resources,CPA
/cia/resources/basics-of-the-cia-exam/,20,Resources,CIA
/blog/cia/order-to-take-the-cia-exam/,19,Blog,CIA
/investment-banking/resources/mock-interview/,19,Resources,BANKING
/blog/cpa/study-tips-for-simulations-section/,19,Blog,CPA
/caia/resources/how-to-become-a-caia/,19,Resources,CAIA
/cfa/resources/program-overview/,18,Resources,CFA
/blog/cpa/motivations-matter-a-cpa-exam-success-factor/,17,Blog,CPA
/cpa/resources/career-paths-for-cpas/,17,Resources,CPA
/blog/cfa/5-cfa-exam-study-hacks-for-exam-day/,17,Blog,CFA
/blog/cfa/holidays-study-plan/,17,Blog,CFA
/blog/cfa/4-time-tested-tips-passing-cfa-exam-first-time/,17,Blog,CFA
/cma/resources/interpret-cma-exam-score/,17,Resources,CMA
/cpa/resources/webinar-time-management/,17,Resources,CPA
/blog/cpa/wuorio-success-story-study/,16,Blog,CPA
/cia/resources/,16,Resources,CIA
/blog/cma/career-management-accounting-looks-like/,16,Blog,CMA
/blog/cpa/page/2/,16,Blog,CPA
/cfa/resources/exam-day-faqs/,16,Resources,CFA
/blog/cia/the-top-5-blogs-for-current-and-future-cia-professionals/,16,Blog,CIA
/cpa/resources/webinar-tackle-the-2017-cpa-exam/?utm_source=google&,16,Resources,CPA
/blog/cfa/cfa-exam-calculator-shortcuts/,15,Blog,CFA
